asset_target,task,model,accuracy_increment_vs_baseline,MAE_change_vs_baseline,MAE_not_worse_than_baseline
GLD_ret,regression,baseline,0.0,0.0,True
GLD_ret,regression,shock_main,0.05,-0.0006787344385891,True
GLD_ret,regression,shock_interactions,0.0083333333333334,-7.270241068410739e-05,True
GLD_ret,regression,rag_memory,0.05,-5.264211223207291e-05,True
GLD_ret,regression,shock_rag,0.0166666666666667,-0.0001718735528298,True
GLD_ret,regression,case_model,0.0416666666666667,-0.0006274113618925,True
GLD_ret,regression,fusion,0.025,0.0001037586819014,False
GLD_ret,regression,fusion_case,-0.0083333333333333,-0.0001442054165658,True
QQQ_ret,regression,baseline,0.0,0.0,True
QQQ_ret,regression,shock_main,0.0675675675675676,-0.0002844654140321,True
QQQ_ret,regression,shock_interactions,0.0405405405405405,-0.0001362375920151,True
QQQ_ret,regression,rag_memory,0.1283783783783783,-0.0003843063957809,True
QQQ_ret,regression,shock_rag,0.1351351351351351,-2.468648777677676e-05,True
QQQ_ret,regression,case_model,-0.054054054054054,-4.557494038273484e-05,True
QQQ_ret,regression,fusion,0.1351351351351351,-0.000148453424713,True
QQQ_ret,regression,fusion_case,0.0945945945945945,-0.0004309514559596,True
SPY_ret,regression,baseline,0.0,0.0,True
SPY_ret,regression,shock_main,-0.0337837837837837,0.0010054697025869,False
SPY_ret,regression,shock_interactions,-0.0743243243243242,0.0015467293953612,False
SPY_ret,regression,rag_memory,0.0,-0.0005265826809891,True
SPY_ret,regression,shock_rag,0.0472972972972973,-0.0006406550067843,True
SPY_ret,regression,case_model,-0.1216216216216216,0.0005470610847159,False
SPY_ret,regression,fusion,0.0067567567567567,1.920373823729657e-06,False
SPY_ret,regression,fusion_case,-0.0135135135135134,-0.0001893131241202,True
UUP_ret,regression,baseline,0.0,0.0,True
UUP_ret,regression,shock_main,-0.0093457943925233,0.0002053272906083,False
UUP_ret,regression,shock_interactions,0.0186915887850466,0.0002258335569213,False
UUP_ret,regression,rag_memory,-0.0093457943925233,6.318835094709305e-05,False
UUP_ret,regression,shock_rag,0.0,0.0001550772492187,False
UUP_ret,regression,case_model,0.0186915887850466,0.0002609780500824,False
UUP_ret,regression,fusion,0.0467289719626167,-8.249136461128525e-05,True
UUP_ret,regression,fusion_case,0.0934579439252336,-0.0001376757191372,True
